部门名称,简称,所属区域,地址,邮编,电话,传真,网站,工作时间,级别,类别
上海市静安区区绿化和市容管理局,静安区绿化市容局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,绿化市容
上海市静安区区生态环境局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,生态环境
上海市静安区区规划和自然资源局,静安区规划资源局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,规划资源
上海市静安区区住房保障和房屋管理局,静安区房管局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,住房保障
上海市静安区区水务局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,水务海洋
上海市静安区区民防办公室,静安区民防办,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,国防动员
上海市静安区区应急管理局,静安区应急局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,应急管理
上海市静安区区市场监督管理局,静安区市场监管局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,市场监管
上海市静安区区城市管理行政执法局,静安区城管执法局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,城市管理
上海市静安区区机关事务管理局,静安区机管局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,机关事务
上海市静安区区退役军人事务局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,退役军人
上海市静安区区医疗保障局,静安区医保局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,社会保障
上海市静安区区交通委员会,静安区交通委,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,交通运输
上海市徐汇区区政府办公室,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,核心机关
上海市徐汇区区发展和改革委员会,徐汇区发改委,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,经济发展
上海市徐汇区区经济委员会,徐汇区经委,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,经济发展
上海市徐汇区区商务委员会,徐汇区商务委,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,经济发展
上海市徐汇区区农业农村委员会,徐汇区农业农村委,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,农业农村
上海市徐汇区区建设和管理委员会,徐汇区建管委,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,城市建设
上海市徐汇区区科学技术委员会,徐汇区科委,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,科技发展
上海市徐汇区区国有资产监督管理委员会,徐汇区国资委,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,国资监管
上海市徐汇区区司法局,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,司法行政
上海市徐汇区区人力资源和社会保障局,徐汇区人社局,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,社会保障
上海市徐汇区区民政局,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,民政管理
上海市徐汇区区财政局,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,财政税务
上海市徐汇区区审计局,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,审计监督
上海市徐汇区区统计局,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,统计调查
上海市徐汇区区教育局,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,教育文化
上海市徐汇区区卫生健康委员会,徐汇区卫健委,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,卫生健康
上海市徐汇区区文化和旅游局,徐汇区文旅局,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,教育文化
上海市徐汇区区体育局,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,体育健身
上海市徐汇区区绿化和市容管理局,徐汇区绿化市容局,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,绿化市容
上海市徐汇区区生态环境局,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,生态环境
上海市徐汇区区规划和自然资源局,徐汇区规划资源局,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,规划资源
上海市徐汇区区住房保障和房屋管理局,徐汇区房管局,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,住房保障
上海市徐汇区区水务局,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,水务海洋
上海市徐汇区区民防办公室,徐汇区民防办,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,国防动员
上海市徐汇区区应急管理局,徐汇区应急局,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,应急管理
上海市徐汇区区市场监督管理局,徐汇区市场监管局,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,市场监管
上海市徐汇区区城市管理行政执法局,徐汇区城管执法局,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,城市管理
上海市徐汇区区机关事务管理局,徐汇区机管局,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,机关事务
上海市徐汇区区退役军人事务局,,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,退役军人
上海市徐汇区区医疗保障局,徐汇区医保局,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,社会保障
上海市徐汇区区交通委员会,徐汇区交通委,徐汇区,上海市徐汇区漕溪北路336号,,021-104XXXXX,,,,区级,交通运输
上海市长宁区区政府办公室,,长宁区,上海市长宁区长宁路599号,,021-105XXXXX,,,,区级,核心机关
上海市长宁区区发展和改革委员会,长宁区发改委,长宁区,上海市长宁区长宁路599号,,021-105XXXXX,,,,区级,经济发展
上海市长宁区区经济委员会,长宁区经委,长宁区,上海市长宁区长宁路599号,,021-105XXXXX,,,,区级,经济发展
上海市长宁区区商务委员会,长宁区商务委,长宁区,上海市长宁区长宁路599号,,021-105XXXXX,,,,区级,经济发展
上海市长宁区区农业农村委员会,长宁区农业农村委,长宁区,上海市长宁区长宁路599号,,021-105XXXXX,,,,区级,农业农村
上海市长宁区区建设和管理委员会,长宁区建管委,长宁区,上海市长宁区长宁路599号,,021-105XXXXX,,,,区级,城市建设
